station_code,measure_date,hyear,TA_30MIN_MEAN,VW_30MIN_MEAN,VW_30MIN_MAX,DW_30MIN_MEAN,RH_30MIN_MEAN,DW_30MIN_SD,HS,TS0_30MIN_MEAN,TS25_30MIN_MEAN,TS50_30MIN_MEAN,TS100_30MIN_MEAN,RSWR_30MIN_MEAN,TSS_30MIN_MEAN
ADE2,2022-12-19 11:00:00+00:00,2023,8.3,1.8,5.3,139.1,52.1,,,,,,,112.7,0.1
ADE2,2022-12-19 11:30:00+00:00,2023,8.4,1.4,5.4,140.0,50.0,,,-0.3,-0.1,0.1,7.2,113.2,0.1
ADE2,2022-12-19 12:00:00+00:00,2023,8.3,1.1,4.8,142.0,48.4,,,-0.3,-0.1,0.1,7.1,134.3,0.1
ADE2,2022-12-19 12:30:00+00:00,2023,8.9,2.4,7.0,149.0,39.2,,,-0.3,-0.1,0.1,8.1,134.5,0.2
ADE2,2022-12-19 13:00:00+00:00,2023,8.8,1.7,7.6,161.9,37.0,,,-0.3,-0.1,0.1,8.1,140.4,0.1
ADE2,2022-12-19 13:30:00+00:00,2023,8.8,2.1,7.6,173.2,33.7,,,-0.3,-0.1,0.0,7.9,106.6,-0.0
ADE2,2022-12-19 14:00:00+00:00,2023,8.7,1.9,6.1,160.7,33.5,,,-0.3,-0.1,0.0,7.5,64.8,-0.2
ADE2,2022-12-19 14:30:00+00:00,2023,8.6,1.2,6.3,184.4,33.1,,51.9,-0.3,-0.1,0.0,7.2,55.0,-0.2
ADE2,2022-12-19 15:00:00+00:00,2023,8.1,0.5,4.8,167.4,34.0,,55.7,-0.3,-0.1,0.0,6.0,44.8,-0.6
ADE2,2022-12-19 15:30:00+00:00,2023,7.7,0.5,4.0,138.1,35.0,,56.3,-0.2,-0.1,0.0,5.4,25.1,-1.0
ADE2,2022-12-19 16:00:00+00:00,2023,6.7,0.4,2.8,138.6,37.9,40.9,55.2,-0.2,-0.1,0.0,3.3,3.4,-2.1
ADE2,2022-12-19 16:30:00+00:00,2023,6.0,0.7,4.7,125.3,40.7,37.6,56.1,-0.2,-0.1,0.0,3.1,0.1,-2.5
ADE2,2022-12-19 17:00:00+00:00,2023,6.0,0.9,3.5,138.1,40.3,30.8,55.8,-0.2,-0.1,0.0,3.5,-0.0,-2.5
ADE2,2022-12-19 17:30:00+00:00,2023,4.9,0.9,2.9,144.8,44.8,30.0,55.9,-0.2,-0.1,0.0,2.6,-0.0,-2.8
ADE2,2022-12-19 18:00:00+00:00,2023,4.9,0.4,2.0,123.6,42.5,41.0,55.9,-0.2,-0.1,-0.1,2.1,-0.0,-3.1
ADE2,2022-12-19 18:30:00+00:00,2023,4.2,0.6,2.0,112.1,45.6,34.9,56.0,-0.2,-0.1,-0.2,1.3,-0.0,-3.4
ADE2,2022-12-19 19:00:00+00:00,2023,3.2,0.7,1.5,118.1,49.8,16.9,57.0,-0.1,-0.1,-0.5,0.8,-0.0,-3.5
